hr,workingday,cnt
0,0,90.8
0,1,36.78629032258065
1,0,69.50869565217391
1,1,16.55263157894737
2,0,53.171052631578945
2,1,8.683778234086242
3,0,25.77533039647577
3,1,4.9425531914893615
4,0,8.26431718061674
4,1,5.4297872340425535
5,0,8.68918918918919
5,1,24.913131313131313
6,0,18.74235807860262
6,1,102.5
7,0,43.40692640692641
7,1,290.61290322580646
8,0,105.65367965367966
8,1,477.00604838709677
9,0,171.62337662337663
9,1,241.51814516129033
10,0,255.9090909090909
10,1,135.36693548387098
11,0,315.31601731601734
11,1,158.2298387096774
12,0,366.2597402597403
12,1,200.8209255533199
13,0,372.73160173160176
13,1,198.429718875502
14,0,364.64502164502164
14,1,183.5722891566265
15,0,358.8138528138528
15,1,201.33132530120483
16,0,352.72727272727275
16,1,293.12224448897797
17,0,323.54978354978357
17,1,525.2905811623247
18,0,281.05652173913046
18,1,492.2269076305221
19,0,231.67391304347825
19,1,348.4016064257028
20,0,174.7391304347826
20,1,249.71887550200802
21,0,142.0608695652174
21,1,186.2871485943775
22,0,116.06086956521739
22,1,138.38955823293173
23,0,85.9304347826087
23,1,88.70883534136546
